ID,Species,Family,bt.family,Figures
usnm_122017_Psettodes_erumei_radiograph,Psettodes_erumei,Psettodiae,Psettodiae,P. eru
usnm_125387_Ancylopsetta_quadrpcellata_radiograph,Ancylopsetta_ommata,Paralichthyidae1,Paralichthyidae,A. omm
usnm_125529_Atheresthes_stomias_radiograph,Atheresthes_stomias,Pleuronectidae,Pleuronectidae,A. sto
usnm_127075_Parophrys_vetulus_radiograph,Parophrys_vetulus,Pleuronectidae,Pleuronectidae,P. vet
usnm_127075_Parophrys_vetulus_radiograph_1,Parophrys_vetulus,Pleuronectidae,Pleuronectidae,P. vet
usnm_137384_Samariscus_longimanus_radiograph,Samariscus_longimanus,Samaridae,Samaridae,S. lon
usnm_137385_Samariscus_longimanus_radiograph,Samariscus_longimanus,Samaridae,Samaridae,S. lon
usnm_137385_Samariscus_longimanus_radiograph_1,Samariscus_longimanus,Samaridae,Samaridae,S. lon
usnm_137409_Lepidoblepharon_ophthalmolepis_radiograph,Lepidoblepharon_ophthalmolepis,Citharidae,Citharidae,L. oph
usnm_138062_Symphurus_bathysplius_radiograph_1,Symphurus_bathyspilus,Cynoglossidae,Cynoglossidae,S. bat
usnm_138062_Symphurus_bathysplius_radiograph_2,Symphurus_bathyspilus,Cynoglossidae,Cynoglossidae,S. bat
usnm_138062_Symphurus_bathysplius_radiograph_3,Symphurus_bathyspilus,Cynoglossidae,Cynoglossidae,S. bat
usnm_150190_Embassichthys_bathybius_radiograph_60kV,Embassichthys_bathybius,Pleuronectidae,Pleuronectidae,E. bat
usnm_150375_Cleisthenes_pinetorum_radiograph_1,Cleisthenes_pinetorum,Pleuronectidae,Pleuronectidae,C. pin
usnm_150375_Cleisthenes_pinetorum_radiograph_2,Cleisthenes_pinetorum,Pleuronectidae,Pleuronectidae,C. pin
usnm_150375_Cleisthenes_pinetorum_radiograph_3,Cleisthenes_pinetorum,Pleuronectidae,Pleuronectidae,C. pin
usnm_150688_Poecilopsetta_plinthus_radiograph,Poecilopsetta_plinthus,Poecilopsettidae,Poecilopsettidae,P. pli
usnm_152478_Tarphops_oligolepis_radiograph,Tarphops_oligolepis,Paralichthyidae2,Paralichthyidae,T. oli
usnm_152478_Tarphops_oligolepis_radiograph_2,Tarphops_oligolepis,Paralichthyidae2,Paralichthyidae,T. oli
usnm_155724_Cyclopsetta_chittendeni_radiograph,Cyclopsetta_chittendeni,Paralichthyidae1,Paralichthyidae,C. chi
usnm_00156026_Cyclopsetta_chittendeni_radiograph,Cyclopsetta_chittendeni,Paralichthyidae1,Paralichthyidae,C. chi
usnm_156028_Cyclopsetta_chittendeni_radiograph,Cyclopsetta_chittendeni,Paralichthyidae1,Paralichthyidae,C. chi
usnm_156077_Ancylopsetta_quadrocellata_radiograph,Ancylopsetta_ommata,Paralichthyidae1,Paralichthyidae,A. omm
usnm_156403_Achirus_lineatus_radiograph_2,Achirus_lineatus,Achiridae,Achiridae,A. lin
usnm_156403_Achirus_lineatus_radiograph_3,Achirus_lineatus,Achiridae,Achiridae,A. lin
usnm_157642_Paralichthys_albigutta_radiograph,Paralichthys_albigutta,Paralichthyidae2,Paralichthyidae,P. alb
usnm_157642_Paralichthys_albigutta_radiograph_1,Paralichthys_albigutta,Paralichthyidae2,Paralichthyidae,P. alb
usnm_157642_Paralichthys_albigutta_radiograph_2,Paralichthys_albigutta,Paralichthyidae2,Paralichthyidae,P. alb
usnm_159442_Monolene_atrimana_radiograph,Monolene_atrimana,Bothidae,Bothidae,M. atr
usnm_159442_Monolene_atrimana_radiograph_1,Monolene_atrimana,Bothidae,Bothidae,M. atr
usnm_159442_Monolene_atrimana_radiograph_2,Monolene_atrimana,Bothidae,Bothidae,M. atr
usnm_159446_Poecilopsetta_albomarginata_radiograph_1,Poecilopsetta_inermis,Poecilopsettidae,Poecilopsettidae,P. ine
usnm_159446_Poecilopsetta_albomarginata_radiograph_2,Poecilopsetta_inermis,Poecilopsettidae,Poecilopsettidae,P. ine
usnm_159446_Poecilopsetta_albomarginata_radiograph_3,Poecilopsetta_inermis,Poecilopsettidae,Poecilopsettidae,P. ine
usnm_159510_Trichopsetta_ventralis_radiograph,Trichopsetta_ventralis,Bothidae,Bothidae,T. ven
usnm_159579_Trichopsetta_caribbaea_radiograph_1,Trichopsetta_caribbaea,Bothidae,Bothidae,T. car
usnm_159579_Trichopsetta_caribbaea_radiograph_2,Trichopsetta_caribbaea,Bothidae,Bothidae,T. car
usnm_159579_Trichopsetta_caribbaea_radiograph_3,Trichopsetta_caribbaea,Bothidae,Bothidae,T. car
usnm_159614_Bothus_robinsi_radiograph_1,Bothus_robinsi,Bothidae,Bothidae,B. rob
usnm_159614_Bothus_robinsi_radiograph_3,Bothus_robinsi,Bothidae,Bothidae,B. rob
usnm_163652_Hippoglossus_hippoglossus_radiograph,Hippoglossus_hippoglossus,Pleuronectidae,Pleuronectidae,H. hip
usnm_164142_Poecilopsetta_beanii_radiograph_2,Poecilopsetta_beanii,Poecilopsettidae,Poecilopsettidae,P. bea
usnm_164142_Poecilopsetta_beanii_radiograph_5,Poecilopsetta_beanii,Poecilopsettidae,Poecilopsettidae,P. bea
usnm_164142_Poecilopsetta_beanii_radiograph_10,Poecilopsetta_beanii,Poecilopsettidae,Poecilopsettidae,P. bea
